street,zip,city,name,cemetery_type,

"Steigstraße 5","78727","Oberndorf/ Neckar","Boll","Urn cremation"
"Klinkerstr.1","32429","Minden","Böllhorst","Urn cremation"
"Im Storchenhain 24","60437","Frankfurt/M.","Bonames","Diamond cremation"
"Wulkower Straße","15234","Frankfurt/Oder","Booßen","Urn cremation"
"Katrepeler Landstr. 9","28357","Bremen","Borgfeld","Urn cremation"
"Dortelweiler Straße 104","60389","Frankfurt/M.","Bornheim","Cemetery burial"
"Burgwedeler Straße 60","30657","Hannover","Bothfeld","Tree burial"
"Friedenstal 2","24250","Bothkamp","Bothkamp/ Eiderquelle","Diamond cremation"
"Bauernwaldstraße 46","70195","Stuttgart","Botnang","Diamond cremation"
"Provinzialstr. 320","44388","Dortmund","Bövinghausen","Tree burial"
"Boxbergweg 27","90431","Nürnberg","Boxdorf","Diamond cremation"
"Kerksiekweg","33729","Bielefeld","Brake alt","Cemetery burial"
"Grafenheider Straße 117","33729","Bielefeld","Brake neu","Urn cremation"
"Berner Chaussee 50-56","22175","Hamburg","Bramfeld","Urn cremation"
"Gehnstraße","49565","Bramsche-Achmer","Bramsche-Osnabrücker Land","Diamond cremation"
"Sickingmühler Straße","45768","Marl","Brassert (Hauptfriedhof)","Cemetery burial"
"Bergwiesenstraße","65207","Wiesbaden","Breckenheim","Urn cremation"
"Lehnstedter Weg","28790","Schwanewede","Bremer Schweiz","Tree burial"
"Waldstraße","27432","Bremervörde","Bremervörde","Urn cremation"
"Brodswinden","91522","Ansbach","Brodswinden St. Bartholomäus","Cemetery burial"
"Rochusstraße","41179","Mönchengladbach","Broich-Peel","Urn cremation"
"Steinbrink 12","38122","Braunschweig","Broitzem","Cemetery burial"
"Brokhauser Straße","32758","Detmold","Brokhausen","Tree burial"
"Zuckerbusch","39114","Magdeburg","Brückfeld","Urn cremation"
"Malterstraße","56070","Koblenz","Bubenheim","Diamond cremation"
"Zimmerstraße","47249","Duisburg","Buchholz","Cemetery burial"
"Pascalstraße 70","70569","Stuttgart","Buchrainfriedhof","Cemetery burial"
"Alt Fermersleben 104","39122","Magdeburg","Buckau","Cemetery burial"
"Im Heidekamp 24","47167","Duisburg","Bügelstraße","Diamond cremation"
"Litzenhardtstr.142","76135","Karlsruhe","Bulach","Cemetery burial"
"Bergmannstr. 39-41","10961","Berlin","Dreifaltigkeitsfriedhof II","Cemetery burial"
"Jahnstraße","67373","Dudenhofen","Dudenhofen","Urn cremation"
"Rochusstraße","53123","Bonn","Duisdorf alt","Tree burial"
"Schmittgasser Kirchweg","53123","Bonn","Duisdorf neu","Diamond cremation"
"Goffineweg","51069","Köln","Dünnwald","Cemetery burial"
"Am Friedhof 6","76227","Karlsruhe","Durlach","Cemetery burial"
"Schlesierstr.47","76227","Karlsruhe","Durlach-Aue","Urn cremation"
"Friedhofstraße 3a","32429","Minden","Dützen","Tree burial"
"Landenbergerstraße 50","73728","Esslingen","Ebershaldenfriedhof","Diamond cremation"
"Palisadenstr.5","64297","Darmstadt","Eberstädtder Friedhof","Cemetery burial"
"Angermünder Chaussee 9","16225","Eberswalde","Eberswalde","Urn cremation"
"Ebnater Hauptstraße","73432","Aalen","Ebnat","Tree burial"
"Engelthaler Straße 36","60435","Frankfurt/M.","Eckenheim","Tree burial"
"Eggartskirch 6","88213","Ravensburg","Eggartskirch","Urn cremation"
"Im Haselbusch","47259","Duisburg","Ehingen","Urn cremation"
"Friedhofstraße","54293","Trier","Ehrang","Diamond cremation"
"Vor dem Sauerwassertor","56077","Koblenz","Ehrenbreitstein","Tree burial"
"Monschauer Straße 65","52076","Aachen","Ehrenfriedhof (Gedenkstätte)","Tree burial"
"Lönsstraße","42289","Wuppertal","Ehrenfriedhof Barmen","Tree burial"
"Augustdorfer Straße","32758","Detmold","Ehrenfriedhof Dörenschlucht","Tree burial"
"Königshöher Weg","42117","Wuppertal","Ehrenfriedhof Elberfeld","Urn cremation"
"Blomberger Straße","32756","Detmold","Ehrenhain","Urn cremation"
"Fritz-Weidner-Strasse 19","90451","Nürnberg","Eibach","Tree burial"
"Eidelstedter Dorfstraße 19b","22527","Hamburg","Eidelstedt","Tree burial"
"Frankfurter Str","51145","Köln","Eil","Tree burial"
"Eisackstr.40a","10827","Berlin","Eisackstraße","Urn cremation"
"Eisenbahnstraße","47119","Duisburg","Eisenbahnstraße","Cemetery burial"
"Eitelsbacher Straße","54292","Trier","Eitelsbach","Urn cremation"
"Hauptstraße 6","29471","Gartow","Elbtalaue","Cemetery burial"
"An der Elfrather Mühle","47802","Krefeld","Elfrath","Cemetery burial"
"Ziegelstraße","01069","Dresden","Eliasfriedhof","Cemetery burial"
"Werstener Feld 203","40591","Düsseldorf","Eller","Diamond cremation"
"","38154","Langleben","Elm","Tree burial"
"Laurentiusstraße","91522","Ansbach","Elpersdorf St. Laurentius","Diamond cremation"
"Hainstraße","53121","Bonn","Endenich","Urn cremation"
"Orli-Wald-Allee 2","30173","Hannover","Engesohde","Tree burial"
"Neuer Weg 56","60388","Frankfurt/M.","Enkheim","Cemetery burial"
"Kölner Str.","51149","Köln","Ensen","Cemetery burial"
"Holzstraße 72a","44869","Bochum","Eppendorf","Cemetery burial"
"","64711","Erbach","Erbach","Tree burial"
"Barbarossastraße / Zum Friedhof","65189","Wiesbaden","Erbenheim","Urn cremation"
"Frohnhofstr.","50765","Köln","Esch","Tree burial"
"Eschau 4","88213","Ravensburg","Eschau","Diamond cremation"
"Nußzeil 13","60433","Frankfurt/M.","Eschersheim","Cemetery burial"
"Bruchstraße","47198","Duisburg","Essenberg","Cemetery burial"
"Vor Plein","54294","Trier","Euren","Tree burial"
"Osterfeldstr. 120","44339","Dortmund","Eving","Cemetery burial"
"Kirchenweg 4","91522","Ansbach","Eyb St. Lambertus","Cemetery burial"
"Eythstraße 1 - 25","12105","Berlin","Eythstraße","Cemetery burial"
"Hans-Sigmund-Straße","73434","Aalen","Fachsenfeld alt","Cemetery burial"
"In der Steine","73434","Aalen","Fachsenfeld neu","Tree burial"
"Cottastraße 34","70180","Stuttgart","Fangelsbachfriedhof","Cemetery burial"
"Farger Str. 19","28777","Bremen","Farge","Tree burial"
"Steinäckerstraße 13","60386","Frankfurt/M.","Fechenheim","Tree burial"
"Am Gottesacker 53","80995","München","Feldmoching","Cemetery burial"
"Talstraße 56","68259","Mannheim","Feudenheim","Urn cremation"
"Talstr.56","68259","Mannheim","Feudenheim","Tree burial"
"Feuerbacher-Tal-Straße 90","70469","Stuttgart","Feuerbach","Urn cremation"
"Im alten Garten","54296","Trier","Filsch","Diamond cremation"
"Kölner Str. 730","47807","Krefeld","Fischeln","Urn cremation"
"Fiskusstr. 147","47167","Diuisburg","Fiskusfriedhof","Cemetery burial"
"Hubertusstr.","51061","Köln","Flittard","Cemetery burial"
"","63639","Flörsbach-Lohrhaupten","Flörsbachtal/ Spessart","Tree burial"
"Forster Linde","52078","Aachen","Forst","Tree burial"
"Friedhofstraße","30453","Hannover","Fössefeld a.D.","Cemetery burial"
"Lehrbergerstraße 16","91578","Leutershausen","Frankenhöhe/ Leutershausen","Diamond cremation"
"Zur Lochwiese","91320","Ebermannstadt","Fränkische Schweiz","Cemetery burial"
"Georgenborner Straße","65201","Wiesbaden","Frauenstein","Urn cremation"
"Farchauer Weg","23909","Fredeburg","Fredeburg","Diamond cremation"
"Friedenstraße 43","26386","Wilhelmshaven","Friedenstraße","Tree burial"
"Kleineisenbachstraße 40","79877","Friedenweiler","Friedenweiler","Urn cremation"
"Kleineisenbachstraße 40","79877","Friedenweiler","Friedenweiler","Cemetery burial"
"Klosterweg 21","83022","Rosenheim","Friedhof am Kapuzinerkloster","Cemetery burial"
"Friedhofstr.31","76646","Bruchsal","Friedhof Bruchsal","Cemetery burial"
"Pfarrbüro: Brabeckstr. 32  Frau Margret Glathe","30559","Hannover","Friedhof der Jakobikirchengemeinde zu Hannover-Kirchrode","Urn cremation"
"Altneublitz","01219","Dresden","Friedhof Leubnitz-Neuostra","Cemetery burial"
"Klosterweg 21","83022","Rosenheim","Friedhof Rosenheim Am Kapuzinerkloster","Cemetery burial"
"Mannheimer Landstraße 4","68723","Schwetzingen","Friedhof Schwetzingen","Cemetery burial"
"Riesebyerstr. 12","24340","Eckernförde","Friedhof St.Nicolai","Urn cremation"
"Bahnhofstraße","49377","Vechta","Friedhof Vechta","Urn cremation"
"Grenzhofer Weg 25","68229","Mannheim","Friedrichsfeld","Tree burial"
"Grenzhofer Weg 25","68229","Mannheim","Friedrichsfeld","Cemetery burial"
"Marzahner Chaussee 20","10315","Berlin","Friedrichsfelde (alt)","Cemetery burial"
"Bergmannstraße 42-44","10961","Berlin","Friedrichswerderscher Friedhof 2","Tree burial"
"Ackerstraße","47229","Duisburg","Friemersheim","Tree burial"
"Bernkasteler Straße","53175","Bonn","Friesdorf","Urn cremation"
"Friesenrather Weg","52076","Aachen","Friesenrath","Cemetery burial"
"Ernestinenstr.","45139","Essen","Frillendorf","Tree burial"
"Kriegerhofstr.","50769","Köln","Fühlingen","Diamond cremation"
"Quirinstr. 29","83024","Rosenheim","Fürstätt","Diamond cremation"
"Bahnhofstraße 7","15518","Hangelsberg","Fürstenwalde","Cemetery burial"
"Gablenberger Hauptstraße 82","70186","Stuttgart","Gablenberg","Tree burial"
"Hornbergstraße 140","70186","Stuttgart","Gaisburg","Tree burial"
"Kannenhenkelweg","01099","Dresden","Garnisonfriedhof","Tree burial"
"","51465","Bergisch","Gärten der Bestattung","Cemetery burial"
"Waldpforte 165","68305","Mannheim","Gartenstadt","Cemetery burial"
"Waldpforte 165","68305","Mannheim","Gartenstadt","Urn cremation"
"Oberdorfstraße","53225","Bonn","Geislar","Tree burial"
"Heidbergsweg 71 a","47809","Krefeld","Gellep-Stratum","Cemetery burial"
"Hagenstiege","46325","Borken","Gemen/ Am Sternbusch","Urn cremation"
"Landsberger Allee 48-50","10249","Berlin","Georgen-Parochial-Friedhof II","Cemetery burial"
"Boxhagener Str. 99-101","10249","Berlin","Georgen-Parochial-Friedhof IV","Tree burial"
"Friedenstr. 82","10249","Berlin","Georgen-Parochial-Friedhof V","Cemetery burial"
"Quadenhofstr. 151","40625","Düsseldorf","Gerresheim","Cemetery burial"
"Kirchharpener Str.63","44805","Bochum","Gerthe","Urn cremation"
"Landrain 25","06118","Halle/Saale","Gertraudenfriedhof","Urn cremation"
"","06118","Halle/Saale","Giebichenstein","Urn cremation"
"Nellessenweg","41238","Mönchengladbach","Giesenkirchen","Tree burial"
"Kirchberg 2","09114","Chemnitz","Glösa","Tree burial"
"Quellental","24960","Glücksburg","Glücksburg","Tree burial"
"Immendorfer Str.","50997","Köln","Godorf","Tree burial"
"Von-Cobres-Straße 19","86199","Augsburg","Göggingen","Cemetery burial"
"Dorfbrunnenstraße 14","88214","Ravensburg","Gornhofen","Diamond cremation"
"Gotlindestr.46","10365","Berlin","Gotlindestraße","Cemetery burial"
"Salzwedeler Straße","29525","Uelzen","Gr. Liedern","Tree burial"
"Hinter der Grambker Kirche 7","28719","Bremen","Grambke","Cemetery burial"
"An der Margarethenkirche","53117","Bonn","Graurheindorf","Cemetery burial"
"Waldschulstraße 79","65933","Frankfurt/M.","Griesheim","Tree burial"
"Grohner Bergstr. 1","28759","Bremen","Grohn","Cemetery burial"
"Gröpelinger Heerstr. 262","28239","Bremen","Gröpelingen","Diamond cremation"
"Wanzlebener Chaussee 22","39116","Magdeburg","Groß Ottersleben","Cemetery burial"
"Wanzleber Chaussee 22","39116","Magdeburg","Groß Ottersleben","Urn cremation"
"Brucker Strasse 1","90427","Nürnberg","Großgründlach","Cemetery burial"
"Kruckeler Str. 120","44229","Dortmund","Großholthausen","Cemetery burial"
"Herbststrasse 50","90431","Nürnberg","Großreuth","Cemetery burial"
"Augustenburgstr. 104","76229","Karlsruhe","Grötzingen","Urn cremation"
"Heckertstr.60","44807","Bochum","Grumme","Cemetery burial"
"Bornstedter Straße 11","10711","Berlin","Grunewald","Cemetery burial"
"Am Berg 2","76228","Karlsruhe","Grünwettersbach","Cemetery burial"
"Durmersheimer Str.34a","76185","Karlsruhe","Grünwinkel","Diamond cremation"
"Güldendorfer Straße","15236","Frankfurt/Oder","Güldendorf","Cemetery burial"
"Karl-Möhlig-Straße","56072","Koblenz","Güls","Tree burial"
"Friedhofstr.45","44866","Bochum","Günningfeld","Cemetery burial"
"Schauinslandstraße","79100","Freiburg","Günterstal","Diamond cremation"
"Gut Panker","24321","Panker","Gut Panker","Cemetery burial"
"Friedenstraße","52080","Aachen","Haaren","Urn cremation"
"Kuhlestraße","58089","Hagen","Hagen Philippshöhe","Cemetery burial"
"Schäferstr. 11","76139","Karlsruhe","Hagsfeld","Urn cremation"
"Mühlenfeld 9","32427","Minden","Hahlen","Cemetery burial"
"Einsteinstr.74","81675","München","Haidhausen","Urn cremation"
"Auf dem Dorn 36","30165","Hannover","Hainholz","Cemetery burial"
"","83026","Rosenheim","Happing","Cemetery burial"
"Alexander-Scharff-Straße","41169","Mönchengladbach","Hardt","Tree burial"
"Korffstraße 51","60437","Frankfurt/M.","Harheim","Cemetery burial"
"Birkenkamp 20","38110","Braunschweig","Harxbüttel","Diamond cremation"
"Petersberger Trift","06463","Meisdorf","Harz Falkenstein","Cemetery burial"
"Linteler Straße","27798","Hude","Hasbruch","Diamond cremation"
"Uffhauser Straße","79115","Freiburg","Haslach","Cemetery burial"
"Hasseler Straße 100","45896","Gelsenkirchen","Hassel-Oberfeldingen","Diamond cremation"
"Hasselsstr.34","40599","Düsseldorf","Hassels","Urn cremation"
"Alter Postweg 24","28207","Bremen","Hastedt","Cemetery burial"
"Bgm.-Widmeier-Straße 55","86179","Augsburg","Haunstetten (alt)","Urn cremation"
"Hopfenstraße 11","86179","Augsburg","Haunstetten (neu)","Tree burial"
"Immanuel-Kant-Str.52","44803","Bochum","Hauptfiedhof","Cemetery burial"
